abs	abs(5)
rgb	rgb(5, 5, 5)
round	round(5)
rpad	rpad(from_hex('AABB'), 5, from_hex('AABB'))
rtrim	rtrim('aBc')
second	second(TIMESTAMP '2024-06-16 13:45:07')
sequence	sequence(5, 5)
sha1	sha1(from_hex('AABB'))
sha256	sha256(from_hex('AABB'))
sha512	sha512(from_hex('AABB'))
sign	sign(5)
sin	sin(2.5)
sinh	sinh(2.5)
soundex	soundex('aBc')
split	split('aBc', 'aBc')
split_part	split_part('aBc', 'aBc', 5)
split_to_map	split_to_map('aBc', 'aBc', 'aBc')
split_to_multimap	split_to_multimap('aBc', 'aBc', 'aBc')
spooky_hash_v2_32	spooky_hash_v2_32(from_hex('AABB'))
spooky_hash_v2_64	spooky_hash_v2_64(from_hex('AABB'))
sqrt	sqrt(2.5)
starts_with	starts_with('aBc', 'aBc')
strpos	strpos('aBc', 'aBc')
substr	substr(from_hex('AABB'), 5)
substring	substring('aBc', 5)
t_cdf	t_cdf(2.5, 2.5)
t_pdf	t_pdf(2.5, 2.5)
tan	tan(2.5)
tanh	tanh(2.5)
timezone	timezone(TIMESTAMP '2024-06-16 13:45:07')
timezone_hour	timezone_hour(TIMESTAMP '2024-06-16 13:45:07')
timezone_minute	timezone_minute(TIMESTAMP '2024-06-16 13:45:07')
to_base	to_base(5, 5)
to_base32	to_base32(from_hex('AABB'))
to_base64	to_base64(from_hex('AABB'))
to_base64url	to_base64url(from_hex('AABB'))
to_big_endian_32	to_big_endian_32(5)
to_big_endian_64	to_big_endian_64(5)
to_hex	to_hex(from_hex('AABB'))
to_ieee754_32	to_ieee754_32(2.5)
to_ieee754_64	to_ieee754_64(2.5)
to_iso8601	to_iso8601(DATE '2024-06-16')
to_unixtime	to_unixtime(TIMESTAMP '2024-06-16 13:45:07')
to_utf8	to_utf8('aBc')
translate	translate('aBc', 'aBc', 'aBc')
trim	trim('aBc')
truncate	truncate(2.5)
upper	upper('aBc')
url_decode	url_decode('aBc')
url_encode	url_encode('aBc')
url_extract_fragment	url_extract_fragment('aBc')
url_extract_host	url_extract_host('aBc')
url_extract_parameter	url_extract_parameter('aBc', 'aBc')
url_extract_path	url_extract_path('aBc')
url_extract_port	url_extract_port('aBc')
url_extract_protocol	url_extract_protocol('aBc')
url_extract_query	url_extract_query('aBc')
week	week(DATE '2024-06-16')
week_of_year	week_of_year(DATE '2024-06-16')
width_bucket	width_bucket(2.5, ARRAY[2.5])
wilson_interval_lower	wilson_interval_lower(5, 5, 2.5)
wilson_interval_upper	wilson_interval_upper(5, 5, 2.5)
with_timezone	with_timezone(TIMESTAMP '2024-06-16 13:45:07', 'aBc')
word_stem	word_stem('aBc')
xxhash64	xxhash64(from_hex('AABB'))
year	year(DATE '2024-06-16')
year_of_week	year_of_week(DATE '2024-06-16')
yow	yow(DATE '2024-06-16')
