abs	abs(2.5)
hours_add	hours_add(cast('2024-06-16 13:45:07' as datetime), 5)
hours_sub	hours_sub(cast('2024-06-16 13:45:07' as datetime), 5)
hour_ceil	hour_ceil(cast('2024-06-16 13:45:07' as datetime))
hour_floor	hour_floor(cast('2024-06-16 13:45:07' as datetime))
hour_from_unixtime	hour_from_unixtime(5)
hour_microsecond	hour_microsecond(cast('2024-06-16 13:45:07' as datetime))
hour_minute	hour_minute(cast('2024-06-16 13:45:07' as datetime))
hour_second	hour_second(cast('2024-06-16 13:45:07' as datetime))
initcap	initcap('aBc')
inner_product	inner_product([1,2,3], [1,2,3])
inner_product_approximate	inner_product_approximate([1,2,3], [1,2,3])
instr	instr('aBc', 'aBc')
interval	interval(5, 5)
int_to_uuid	int_to_uuid(5)
ipv4_num_to_string	ipv4_num_to_string(5)
ipv4_string_to_num	ipv4_string_to_num('aBc')
ipv4_string_to_num_or_default	ipv4_string_to_num_or_default('aBc')
ipv4_string_to_num_or_null	ipv4_string_to_num_or_null('aBc')
ipv6_from_uint128_string_or_null	ipv6_from_uint128_string_or_null('aBc')
ipv6_num_to_string	ipv6_num_to_string('aBc')
ipv6_string_to_num	ipv6_string_to_num('aBc')
ipv6_string_to_num_or_default	ipv6_string_to_num_or_default('aBc')
ipv6_string_to_num_or_null	ipv6_string_to_num_or_null('aBc')
isinf	isinf(2.5)
isnan	isnan(2.5)
is_ipv4_compat	is_ipv4_compat('aBc')
is_ipv4_mapped	is_ipv4_mapped('aBc')
is_ipv4_string	is_ipv4_string('aBc')
is_ipv6_string	is_ipv6_string('aBc')
is_uuid	is_uuid('aBc')
is_valid_utf8	is_valid_utf8('aBc')
jsonb_parse	jsonb_parse('aBc')
jsonb_parse_error_to_null	jsonb_parse_error_to_null('aBc')
jsonb_valid	jsonb_valid('aBc')
json_quote	json_quote('aBc')
json_unquote	json_unquote('aBc')
json_valid	json_valid('aBc')
l1_distance	l1_distance([1,2,3], [1,2,3])
l2_distance	l2_distance([1,2,3], [1,2,3])
l2_distance_approximate	l2_distance_approximate([1,2,3], [1,2,3])
last_day	last_day(cast('2024-06-16' as date))
lcase	lcase('aBc')
lcm	lcm(5, 5)
left	left('aBc', 5)
length	length('aBc')
levenshtein	levenshtein('aBc', 'aBc')
like	like('aBc', 'aBc')
ln	ln(2.5)
log	log(2.5)
log10	log10(2.5)
log2	log2(2.5)
lpad	lpad('aBc', 5, 'aBc')
ltrim	ltrim('aBc', 'aBc')
ltrim_in	ltrim_in('aBc', 'aBc')
maketime	maketime(5, 5, 5)
make_set	make_set(5, 'aBc')
mask	mask('aBc')
mask_first_n	mask_first_n('aBc')
mask_last_n	mask_last_n('aBc')
md5	md5('aBc')
md5sum	md5sum('aBc')
microsecond	microsecond(cast('2024-06-16 13:45:07' as datetime))
microseconds_add	microseconds_add(cast('2024-06-16 13:45:07' as datetime), 5)
microsecond_timestamp	microsecond_timestamp(cast('2024-06-16 13:45:07' as datetime))
millisecond_timestamp	millisecond_timestamp(cast('2024-06-16 13:45:07' as datetime))
minute	minute(cast('2024-06-16 13:45:07' as datetime))
minutes_add	minutes_add(cast('2024-06-16 13:45:07' as datetime), 5)
minutes_sub	minutes_sub(cast('2024-06-16 13:45:07' as datetime), 5)
minute_ceil	minute_ceil(cast('2024-06-16 13:45:07' as datetime))
minute_floor	minute_floor(cast('2024-06-16 13:45:07' as datetime))
minute_from_unixtime	minute_from_unixtime(5)
minute_microsecond	minute_microsecond(cast('2024-06-16 13:45:07' as datetime))
minute_second	minute_second(cast('2024-06-16 13:45:07' as datetime))
money_format	money_format(5)
month	month(cast('2024-06-16' as date))
monthname	monthname(cast('2024-06-16' as date))
months_add	months_add(cast('2024-06-16 13:45:07' as datetime), 5)
months_between	months_between(cast('2024-06-16' as date), cast('2024-06-16' as date), true)
months_sub	months_sub(cast('2024-06-16 13:45:07' as datetime), 5)
month_ceil	month_ceil(cast('2024-06-16 13:45:07' as datetime))
month_floor	month_floor(cast('2024-06-16 13:45:07' as datetime))
multi_match	multi_match('aBc')
multi_match_any	multi_match_any('aBc', [1,2,3])
multi_search_all_positions	multi_search_all_positions('aBc', [1,2,3])
murmur_hash3_128	murmur_hash3_128('aBc')
murmur_hash3_32	murmur_hash3_32('aBc')
murmur_hash3_64	murmur_hash3_64('aBc')
murmur_hash3_64_v2	murmur_hash3_64_v2('aBc')
murmur_hash3_u128	murmur_hash3_u128('aBc')
murmur_hash3_u64_v2	murmur_hash3_u64_v2('aBc')
negative	negative(5)
next_day	next_day(cast('2024-06-16' as date), 'aBc')
ngram_search	ngram_search('aBc', 'aBc', 5)
normal_cdf	normal_cdf(2.5, 2.5, 2.5)
not_null_or_empty	not_null_or_empty('aBc')
null_or_empty	null_or_empty('aBc')
parse_data_size	parse_data_size('aBc')
parse_url	parse_url('aBc', 'aBc')
password	password('aBc')
period_add	period_add(5, 5)
period_diff	period_diff(5, 5)
position	position('aBc', 'aBc')
positive	positive(5)
pow	pow(2.5, 2.5)
power	power(2.5, 2.5)
previous_day	previous_day(cast('2024-06-16' as date), 'aBc')
protocol	protocol('aBc')
quantile_state_from_base64	quantile_state_from_base64('aBc')
quarter	quarter(cast('2024-06-16 13:45:07' as datetime))
quarters_add	quarters_add(cast('2024-06-16 13:45:07' as datetime), 5)
quarters_sub	quarters_sub(cast('2024-06-16 13:45:07' as datetime), 5)
quarter_ceil	quarter_ceil(cast('2024-06-16 13:45:07' as datetime))
quarter_floor	quarter_floor(cast('2024-06-16 13:45:07' as datetime))
quote	quote('aBc')
radians	radians(2.5)
random_bytes	random_bytes(5)
regexp	regexp('aBc', 'aBc')
regexp_count	regexp_count('aBc', 'aBc')
regexp_extract	regexp_extract('aBc', 'aBc', 5)
regexp_extract_all	regexp_extract_all('aBc', 'aBc')
regexp_extract_or_null	regexp_extract_or_null('aBc', 'aBc', 5)
regexp_replace	regexp_replace('aBc', 'aBc', 'aBc')
regexp_replace_one	regexp_replace_one('aBc', 'aBc', 'aBc')
repeat	repeat('aBc', 5)
replace	replace('aBc', 'aBc', 'aBc')
replace_empty	replace_empty('aBc', 'aBc', 'aBc')
reverse	reverse([1,2,3])
right	right('aBc', 5)
round	round(2.5)
round_bankers	round_bankers(2.5)
rpad	rpad('aBc', 5, 'aBc')
rtrim	rtrim('aBc', 'aBc')
rtrim_in	rtrim_in('aBc', 'aBc')
search	search('aBc')
sec	sec(2.5)
second	second(cast('2024-06-16 13:45:07' as datetime))
seconds_add	seconds_add(cast('2024-06-16 13:45:07' as datetime), 5)
seconds_sub	seconds_sub(cast('2024-06-16 13:45:07' as datetime), 5)
second_ceil	second_ceil(cast('2024-06-16 13:45:07' as datetime))
second_floor	second_floor(cast('2024-06-16 13:45:07' as datetime))
second_from_unixtime	second_from_unixtime(5)
second_microsecond	second_microsecond(cast('2024-06-16 13:45:07' as datetime))
second_timestamp	second_timestamp(cast('2024-06-16 13:45:07' as datetime))
sec_to_time	sec_to_time(5)
sha1	sha1('aBc')
sha2	sha2('aBc', 5)
sign	sign(2.5)
signbit	signbit(2.5)
sin	sin(2.5)
sinh	sinh(2.5)
sleep	sleep(5)
sm3	sm3('aBc')
sm3sum	sm3sum('aBc')
sm4_decrypt	sm4_decrypt('aBc', 'aBc')
sm4_encrypt	sm4_encrypt('aBc', 'aBc')
soundex	soundex('aBc')
space	space(5)
split_by_regexp	split_by_regexp('aBc', 'aBc')
split_by_string	split_by_string('aBc', 'aBc')
split_part	split_part('aBc', 'aBc', 5)
sqrt	sqrt(2.5)
starts_with	starts_with('aBc', 'aBc')
strcmp	strcmp('aBc', 'aBc')
str_to_date	str_to_date('aBc', 'aBc')
str_to_map	str_to_map('aBc')
st_angle	st_angle('aBc', 'aBc', 'aBc')
st_area_square_km	st_area_square_km('aBc')
st_area_square_meters	st_area_square_meters('aBc')
st_asbinary	st_asbinary('aBc')
st_astext	st_astext('aBc')
st_aswkt	st_aswkt('aBc')
st_azimuth	st_azimuth('aBc', 'aBc')
st_circle	st_circle(2.5, 2.5, 2.5)
st_contains	st_contains('aBc', 'aBc')
st_disjoint	st_disjoint('aBc', 'aBc')
st_distance	st_distance('aBc', 'aBc')
st_geometries	st_geometries('aBc')
st_geometryfromtext	st_geometryfromtext('aBc')
st_geometryfromwkb	st_geometryfromwkb('aBc')
st_geometrytype	st_geometrytype('aBc')
st_geomfromtext	st_geomfromtext('aBc')
st_geomfromwkb	st_geomfromwkb('aBc')
st_intersects	st_intersects('aBc', 'aBc')
st_length	st_length('aBc')
st_linefromtext	st_linefromtext('aBc')
st_linestringfromtext	st_linestringfromtext('aBc')
st_numgeometries	st_numgeometries('aBc')
st_numpoints	st_numpoints('aBc')
st_point	st_point(2.5, 2.5)
st_polyfromtext	st_polyfromtext('aBc')
st_polygon	st_polygon('aBc')
st_polygonfromtext	st_polygonfromtext('aBc')
st_touches	st_touches('aBc', 'aBc')
st_x	st_x('aBc')
st_y	st_y('aBc')
substr	substr('aBc', 5)
substring_index	substring_index('aBc', 'aBc', 5)
sub_replace	sub_replace('aBc', 'aBc', 5)
tan	tan(2.5)
tanh	tanh(2.5)
time	time(cast('2024-06-16 13:45:07' as datetime))
timestamp	timestamp(cast('2024-06-16 13:45:07' as datetime))
tokenize	tokenize('aBc', 'aBc')
top_level_domain	top_level_domain('aBc')
to_base64	to_base64('aBc')
to_binary	to_binary('aBc')
to_bitmap	to_bitmap(5)
to_bitmap_with_check	to_bitmap_with_check(5)
to_date	to_date(cast('2024-06-16 13:45:07' as datetime))
to_datev2	to_datev2(cast('2024-06-16 13:45:07' as datetime))
to_days	to_days(cast('2024-06-16' as date))
to_ipv4	to_ipv4('aBc')
to_ipv4_or_default	to_ipv4_or_default('aBc')
to_ipv4_or_null	to_ipv4_or_null('aBc')
to_ipv6	to_ipv6('aBc')
to_ipv6_or_default	to_ipv6_or_default('aBc')
to_ipv6_or_null	to_ipv6_or_null('aBc')
to_iso8601	to_iso8601(cast('2024-06-16 13:45:07' as datetime))
to_monday	to_monday(cast('2024-06-16' as date))
to_quantile_state	to_quantile_state(2.5, 2.5)
to_seconds	to_seconds(cast('2024-06-16 13:45:07' as datetime))
translate	translate('aBc', 'aBc', 'aBc')
trim	trim('aBc', 'aBc')
trim_in	trim_in('aBc', 'aBc')
truncate	truncate(2.5, 5)
ucase	ucase('aBc')
uncompress	uncompress('aBc')
unhex	unhex('aBc')
unhex_null	unhex_null('aBc')
unicode_normalize	unicode_normalize('aBc', 'aBc')
uniform	uniform(5, 5, 5)
url_decode	url_decode('aBc')
url_encode	url_encode('aBc')
uuid_to_int	uuid_to_int('aBc')
week	week(cast('2024-06-16' as date))
weekday	weekday(cast('2024-06-16' as date))
weekofyear	weekofyear(cast('2024-06-16' as date))
weeks_add	weeks_add(cast('2024-06-16 13:45:07' as datetime), 5)
weeks_sub	weeks_sub(cast('2024-06-16 13:45:07' as datetime), 5)
week_ceil	week_ceil(cast('2024-06-16 13:45:07' as datetime))
week_floor	week_floor(cast('2024-06-16 13:45:07' as datetime))
xor	xor(true, true)
xpath_string	xpath_string('aBc', 'aBc')
xxhash_32	xxhash_32('aBc')
xxhash_64	xxhash_64('aBc')
year	year(cast('2024-06-16' as date))
years_add	years_add(cast('2024-06-16 13:45:07' as datetime), 5)
years_sub	years_sub(cast('2024-06-16 13:45:07' as datetime), 5)
yearweek	yearweek(cast('2024-06-16' as date))
year_ceil	year_ceil(cast('2024-06-16 13:45:07' as datetime))
year_floor	year_floor(cast('2024-06-16 13:45:07' as datetime))
year_month	year_month(cast('2024-06-16 13:45:07' as datetime))
year_of_week	year_of_week(cast('2024-06-16' as date))
